Entry	Entry name	Protein names	Gene names	Organism	Length	Subcellular location [CC]	Cross-reference (EMBL)
C4ZZ08	GLMU_ECOBW	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU BWG_3421	Escherichia coli (strain K12 / MC4100 / BW2952)	456	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01631}.	CP001396;
C4ZRD1	AMPA_ECOBW	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase)	pepA BWG_3966	Escherichia coli (strain K12 / MC4100 / BW2952)	503	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00181}.	CP001396;
C4ZTI0	THII_ECOBW	tRNA sulfurtransferase (EC 2.8.1.4) (Sulfur carrier protein ThiS sulfurtransferase) (Thiamine biosynthesis protein ThiI) (tRNA 4-thiouridine synthase)	thiI BWG_0305	Escherichia coli (strain K12 / MC4100 / BW2952)	482	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00021}.	CP001396;
C4ZX92	RLMN_ECOBW	Dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	rlmN BWG_2281	Escherichia coli (strain K12 / MC4100 / BW2952)	384	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01849}.	CP001396;
C4ZZT2	ENO_ECOBW	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno BWG_2514	Escherichia coli (strain K12 / MC4100 / BW2952)	432	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00318}. Secreted {ECO:0000255|HAMAP-Rule:MF_00318}. Cell surface {ECO:0000255|HAMAP-Rule:MF_00318}. Note=Fractions of enolase are present in both the cytoplasm and on the cell surface. The export of enolase possibly depends on the covalent binding to the substrate; once secreted, it remains attached to the cell surface. {ECO:0000255|HAMAP-Rule:MF_00318}.	CP001396;
C5A083	PFKA_ECOBW	ATP-dependent 6-phosphofructokinase isozyme 1 (ATP-PFK 1) (Phosphofructokinase 1) (EC 2.7.1.11) (6-phosphofructokinase isozyme I) (Phosphohexokinase 1)	pfkA BWG_3585	Escherichia coli (strain K12 / MC4100 / BW2952)	320	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00339}.	CP001396;
C4ZS47	NAGZ_ECOBW	Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)	nagZ BWG_0955	Escherichia coli (strain K12 / MC4100 / BW2952)	341	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00364}.	CP001396;
C4ZVN2	FADJ_ECOBW	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	fadJ BWG_2113	Escherichia coli (strain K12 / MC4100 / BW2952)	714	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01617}.	CP001396;
C5A0L1	METK_ECOBW	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	metK BWG_2664	Escherichia coli (strain K12 / MC4100 / BW2952)	384	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00086}.	CP001396;
C4ZYE2	SUFS_ECOBW	Cysteine desulfurase (EC 2.8.1.7) (Selenocysteine beta-lyase) (SCL) (Selenocysteine lyase) (EC 4.4.1.16) (Selenocysteine reductase)	sufS BWG_1494	Escherichia coli (strain K12 / MC4100 / BW2952)	406	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01831}.	CP001396;
